Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;35.122,26;35.290,91;35.519,79;35.574,33;35.851,62;;;;;;;
2;35.133,53;35.294,32;35.529,90;35.573,19;35.864,70;;;;;;;
3;35.144,81;35.297,73;35.540,01;35.572,04;35.877,78;;;;;;;
4;35.156,09;35.301,14;35.550,13;35.570,89;35.890,87;;;;;;;
5;35.167,38;35.304,55;35.560,24;35.569,74;35.903,96;;;;;;;
6;35.178,67;35.307,96;35.570,37;35.568,59;35.917,05;;;;;;;
7;35.189,96;35.311,37;35.580,49;35.567,44;35.930,15;;;;;;;
8;35.201,26;35.314,79;35.590,62;35.566,30;35.943,26;;;;;;;
9;35.212,56;35.318,20;35.600,75;35.565,15;35.956,37;;;;;;;
10;35.215,96;35.328,25;35.599,60;35.578,12;;;;;;;;
11;35.219,37;35.338,31;35.598,45;35.591,10;;;;;;;;
12;35.222,77;35.348,37;35.597,30;35.604,08;;;;;;;;
13;35.226,17;35.358,43;35.596,15;35.617,07;;;;;;;;
14;35.229,58;35.368,49;35.595,01;35.630,06;;;;;;;;
15;35.232,98;35.378,56;35.593,86;35.643,05;;;;;;;;
16;35.236,39;35.388,63;35.592,71;35.656,05;;;;;;;;
17;35.239,79;35.398,70;35.591,56;35.669,06;;;;;;;;
18;35.243,20;35.408,77;35.590,41;35.682,07;;;;;;;;
19;35.246,60;35.418,85;35.589,26;35.695,08;;;;;;;;
20;35.250,01;35.428,93;35.588,11;35.708,10;;;;;;;;
21;35.253,41;35.439,02;35.586,96;35.721,12;;;;;;;;
22;35.256,82;35.449,10;35.585,82;35.734,15;;;;;;;;
23;35.260,23;35.459,19;35.584,67;35.747,19;;;;;;;;
24;35.263,64;35.469,28;35.583,52;35.760,22;;;;;;;;
25;35.267,04;35.479,38;35.582,37;35.773,27;;;;;;;;
26;35.270,45;35.489,48;35.581,22;35.786,31;;;;;;;;
27;35.273,86;35.499,58;35.580,07;35.799,37;;;;;;;;
28;35.277,27;35.509,68;35.578,93;35.812,42;;;;;;;;
29;35.280,68;;35.577,78;35.825,49;;;;;;;;
30;35.284,09;;35.576,63;35.838,55;;;;;;;;
31;35.287,50;;35.575,48;;;;;;;;;
